benchmark,test_suite,fault_exposed
printtokens,random_statement_suite,3
printtokens,total_statement_suite,3
printtokens,addition_statement_suite,4
printtokens,random_branch_suite,4
printtokens,total_branch_suite,3
printtokens,addition_branch_suite,4
schedule,random_statement_suite,2
schedule,total_statement_suite,3
schedule,addition_statement_suite,4
schedule,random_branch_suite,4
schedule,total_branch_suite,5
schedule,addition_branch_suite,5
schedule2,random_statement_suite,1
schedule2,total_statement_suite,2
schedule2,addition_statement_suite,3
schedule2,random_branch_suite,3
schedule2,total_branch_suite,3
schedule2,addition_branch_suite,3
tcas,random_statement_suite,7
tcas,total_statement_suite,9
tcas,addition_statement_suite,9
tcas,random_branch_suite,10
tcas,total_branch_suite,10
tcas,addition_branch_suite,10
totinfo,random_statement_suite,17
totinfo,total_statement_suite,10
totinfo,addition_statement_suite,12
totinfo,random_branch_suite,18
totinfo,total_branch_suite,12
totinfo,addition_branch_suite,12
